Customer_Row_ID,Customer ID,Customer_Name,Segment
98,GZ-14470,Katherine Ducich,Consumer
99,LC-16870,Elpida Rittenbach,Corporate
100,JM-15250,Rick Bensley,Home Office
103,PA-19060,Gary Zandusky,Consumer
104,CV-12805,Lena Cacioppo,Consumer
107,CL-12565,Janet Martin,Consumer
110,RC-19960,Pete Armstrong,Home Office
111,DK-13090,Cynthia Voltz,Corporate
112,GG-14650,Clay Ludtke,Consumer
114,SC-20725,Ryan Crowe,Consumer
118,AD-10180,Dave Kipp,Consumer
119,PF-19165,Greg Guthrie,Corporate
120,TS-21610,Steven Cartwright,Consumer
125,LS-16975,Alan Dominguez,Home Office
126,DW-13585,Philip Fox,Consumer
127,LC-16885,Troy Staebel,Consumer
129,JD-15895,Lindsay Shagiari,Home Office
131,SH-19975,Dorothy Wardle,Corporate
134,SG-20080,Lena Creighton,Consumer
141,HA-14920,Jonathan Doherty,Corporate
142,MG-17680,Sally Hughsby,Corporate
145,JE-16165,Sandra Glassco,Consumer
146,TW-21025,Helen Andreada,Consumer
147,SP-20650,Maureen Gastineau,Home Office
148,NK-18490,Justin Ellison,Corporate
152,DB-13060,Tamara Willingham,Home Office
154,NP-18670,Stephanie Phelps,Corporate
157,TT-21070,Neil Knudson,Home Office
158,EM-13960,Dave Brooks,Consumer
159,RD-19900,Nora Paige,Consumer
161,MJ-17740,Ted Trevino,Consumer
162,BM-11140,Eric Murdock,Consumer
163,CS-12130,Ruben Dartt,Consumer
164,JB-15400,Max Jones,Consumer
165,SJ-20500,Becky Martin,Consumer
172,JK-15640,Chad Sievert,Consumer
175,DK-13150,Jennifer Braxton,Corporate
177,RM-19675,Shirley Jackson,Consumer
178,SK-19990,Joel Eaton,Consumer
180,FM-14290,Jim Kriz,Home Office
181,AM-10360,David Kendrick,Corporate
183,MP-17470,Robert Marley,Home Office
186,MZ-17515,Sally Knutson,Consumer
187,CB-12025,Frank Merwin,Home Office
188,VM-21685,Alice McCarthy,Corporate
190,FH-14365,Mark Packer,Home Office
195,MB-17305,Mary Zewe,Corporate
196,BS-11755,Cassandra Brandow,Consumer
198,LC-17140,Valerie Mitchum,Home Office
199,HK-14890,Fred Hopkins,Corporate
201,LE-16810,Maria Bertelson,Consumer
202,JH-15985,Bruce Stewart,Consumer
204,MS-17980,Logan Currie,Consumer
205,VW-21775,Heather Kirkland,Corporate
206,JH-15910,Laurel Elliston,Consumer
207,JB-15925,Joseph Holt,Consumer
212,DS-13180,Michael Stewart,Corporate
213,VD-21670,Victoria Wilson,Corporate
218,EA-14035,Jonathan Howell,Consumer
220,DB-13120,Joni Blumstein,Consumer
226,KL-16645,David Smith,Corporate
229,DW-13480,Valerie Dominguez,Consumer
231,LH-17155,Erin Ashbrook,Corporate
232,KC-16540,Christopher Schild,Home Office
237,DL-13315,David Bremer,Corporate
238,DR-12880,Ken Lonsdale,Consumer
245,CC-12670,Dianna Wilson,Home Office
250,Dl-13600,Logan Haushalter,Consumer
251,SB-20290,Kelly Collister,Consumer
253,RC-19825,Delfina Latchford,Consumer
255,AH-10210,Dan Reichenbach,Corporate
259,CB-12535,Craig Carreira,Consumer
262,CA-12310,Dorris liebe,Corporate
263,KH-16690,Sean Braxton,Corporate
265,BB-10990,Roy Collins,Consumer
266,AG-10495,Alan Hwang,Consumer
267,JO-15280,Claudia Bergmann,Corporate
268,AH-10195,Paul Gonzalez,Consumer
269,NZ-18565,Christine Abelman,Corporate
271,KL-16555,Kristen Hastings,Corporate
272,AS-10225,Helen Andreada,Consumer
275,CR-12625,Barry Blumstein,Corporate
277,SH-20395,Andrew Gjertsen,Corporate
281,BP-11185,Steven Cartwright,Consumer
283,TS-21205,Jas O'Carroll,Consumer
284,AG-10525,Tracy Blumstein,Consumer
287,SP-20860,Alan Haines,Corporate
290,NM-18445,Nick Zandusky,Home Office
294,FA-14230,Kelly Lampkin,Corporate
299,GK-14620,Jonathan Doherty,Corporate
304,DJ-13510,Jonathan Howell,Consumer
305,PO-18850,Alan Schoenberger,Corporate
306,JL-15850,Ken Brennan,Corporate
307,DB-13615,Corey Roper,Home Office
309,AC-10420,Shahid Hopkins,Consumer
310,CC-12550,Ben Peterman,Corporate
314,TD-20995,Thomas Seio,Corporate
315,AB-10060,Andy Gerbode,Corporate
317,JL-15505,Sung Pak,Corporate
318,VB-21745,Nathan Mautz,Home Office
323,KW-16435,Frank Atkinson,Corporate
324,JD-16060,Grace Kelly,Corporate
326,MK-17905,Don Jones,Corporate
327,GT-14755,Patrick O'Brill,Consumer
332,AG-10900,John Lucas,Consumer
335,MM-18280,Doug Bickford,Consumer
338,AR-10405,Alyssa Crouse,Corporate
340,RA-19915,Ken Lonsdale,Consumer
341,AS-10285,Jonathan Doherty,Corporate
345,LA-16780,Chad Sievert,Consumer
346,DO-13435,Clay Cheatham,Consumer
347,DK-13225,Tamara Dahlen,Consumer
350,NG-18430,Adam Bellavance,Home Office
355,MV-18190,Jeremy Lonsdale,Consumer
359,JG-15115,Heather Kirkland,Corporate
360,BP-11095,Victoria Brennan,Corporate
362,VP-21730,Katrina Willman,Consumer
366,SS-20140,Julia Dunbar,Consumer
367,AG-10675,Michael Kennedy,Corporate
371,LF-17185,Guy Thornton,Consumer
373,RF-19840,Arthur Gainer,Consumer
377,KH-16510,Muhammed MacIntyre,Corporate
378,KC-16675,Allen Rosenblatt,Corporate
379,CJ-12010,Russell Applegate,Consumer
382,PB-19150,Alejandro Savely,Corporate
384,MP-17965,Laura Armstrong,Corporate
385,NF-18385,Denny Ordway,Consumer
387,SD-20485,Dean Katz,Corporate
389,KH-16630,Nathan Gelder,Consumer
390,RB-19795,Mike Vittorini,Consumer
392,MK-18160,Jack Garza,Consumer
394,PO-19180,Bart Pistole,Corporate
395,BB-11545,Victor Preis,Home Office
396,TB-21595,Saphhira Shifley,Corporate
398,RB-19360,Harold Pawlan,Home Office
399,EB-13705,Anna Gayman,Consumer
403,SC-20095,Luke Foster,Consumer
404,TN-21040,Stephanie Phelps,Corporate
405,JS-15940,Roy Französisch,Consumer
406,MH-17785,Keith Herrera,Consumer
415,JP-15520,Kimberly Carter,Corporate
417,JE-15475,Caroline Jumper,Consumer
418,JG-15805,Philip Brown,Consumer
419,XP-21865,Victoria Brennan,Corporate
420,EM-14065,Sung Pak,Corporate
422,MT-18070,Joel Eaton,Consumer
423,SA-20830,Michael Paige,Corporate
425,CW-11905,Natalie Fritzler,Consumer
426,AJ-10960,Janet Molinari,Corporate
428,SS-20590,Shirley Daniels,Home Office
429,RO-19780,Ken Heidel,Corporate
430,MD-17350,Ross Baird,Home Office
434,MY-17380,Dave Brooks,Consumer
435,CM-12385,Mike Kennedy,Consumer
437,LS-17245,Philisse Overcash,Home Office
439,BN-11515,Brenda Bowman,Corporate
440,DB-13210,Cynthia Voltz,Corporate
441,MC-17605,Pete Kriz,Consumer
447,BD-11605,Troy Blackwell,Consumer
448,PH-18790,Raymond Buch,Consumer
454,MG-18145,Ed Braxton,Corporate
456,KB-16240,Ken Heidel,Corporate
457,JC-15340,Sanjit Chand,Consumer
458,RL-19615,Natalie Fritzler,Consumer
460,AA-10375,Joseph Holt,Consumer
463,EP-13915,Tanja Norvell,Home Office
468,DK-12985,Joni Sundaresam,Home Office
469,BD-11500,David Smith,Corporate
470,LM-17065,Craig Carreira,Consumer
471,AS-10135,Maya Herman,Corporate
472,BD-11320,Jeremy Pistek,Consumer
478,GT-14710,Kristen Hastings,Corporate
479,AJ-10945,Jeremy Ellison,Consumer
480,OT-18730,John Grady,Corporate
482,LP-17080,Xylona Preis,Consumer
483,CA-12775,Erin Mull,Consumer
485,JF-15490,Michelle Tran,Home Office
488,FP-14320,Sue Ann Reed,Consumer
489,EB-13840,Carl Weiss,Home Office
492,JF-15415,Astrea Jones,Consumer
494,SF-20200,Sonia Sunley,Consumer
495,TG-21640,Rose O'Brian,Consumer
496,CS-11950,Maribeth Dona,Consumer
497,CC-12145,Sanjit Chand,Consumer
501,DV-13465,Maribeth Yedwab,Corporate
506,BD-11725,Ed Braxton,Corporate
507,ZC-21910,Christopher Martinez,Consumer
511,MS-17830,Lynn Smith,Consumer
513,LR-16915,Luke Foster,Consumer
514,TP-21130,Bradley Nguyen,Consumer
516,CK-12205,Alan Dominguez,Home Office
520,AS-10240,Dean Braden,Consumer
523,AR-10510,Matt Connell,Corporate
524,NB-18655,Logan Haushalter,Consumer
526,GD-14590,Brian Dahlen,Consumer
527,CK-12595,Patricia Hirasaki,Home Office
529,NG-18355,Mike Gockenbach,Consumer
532,CA-12265,Karen Bern,Corporate
533,SF-20965,Jasper Cacioppo,Consumer
534,MO-17800,Rob Lucas,Consumer
536,AT-10735,Allen Armold,Consumer
537,FM-14380,Emily Phan,Consumer
538,DJ-13420,Mark Packer,Home Office
539,ME-17725,Darren Koutras,Consumer
541,JD-16150,Bradley Drucker,Consumer
542,JL-15835,Erin Smith,Corporate
543,SC-20305,Liz MacKendrick,Consumer
544,CC-12430,Paul Gonzalez,Consumer
547,AR-10825,Adrian Shami,Home Office
549,SR-20740,Dean Katz,Corporate
552,CR-12730,Bill Donatelli,Consumer
553,EH-14125,Ryan Crowe,Consumer
554,SP-20545,Greg Tran,Consumer
555,TH-21235,Dean Katz,Corporate
556,RP-19390,Ashley Jarboe,Consumer
557,RB-19570,Olvera Toch,Consumer
560,CD-11980,Liz Pelletier,Consumer
562,DJ-13630,Cynthia Arntzen,Consumer
564,GT-14635,Jeremy Farry,Consumer
566,MC-17845,Frank Preis,Consumer
567,RA-19285,Ellis Ballard,Corporate
571,NP-18325,Jennifer Ferguson,Consumer
575,AB-10165,Sarah Foster,Consumer
576,JO-15550,Trudy Glocke,Consumer
579,JK-15370,Carlos Soltero,Consumer
581,BN-11470,Charles Crestani,Consumer
582,DP-13165,Dianna Vittorini,Consumer
587,TH-21550,Bruce Degenhardt,Consumer
589,AP-10915,Zuschuss Carroll,Consumer
593,RS-19765,Melanie Seite,Consumer
595,SV-20365,Lena Radford,Consumer
599,CK-12325,Theone Pippenger,Consumer
600,RD-19810,Chloris Kastensmidt,Consumer
603,MR-17545,Alan Shonely,Consumer
608,SC-20695,Andrew Roberts,Consumer
611,JF-15355,Nona Balk,Corporate
613,EG-13900,Giulietta Dortch,Corporate
615,DS-13030,Clytie Kelty,Consumer
617,PO-19195,Nat Gilpin,Corporate
622,SS-20875,Christina Anderson,Consumer
623,PB-19105,Sylvia Foulston,Corporate
627,RF-19735,Meg O'Connel,Home Office
628,YC-21895,Annie Thurman,Consumer
629,DC-13285,Logan Currie,Consumer
631,CP-12340,Fred McMath,Consumer
634,BF-11020,Brian Dahlen,Consumer
636,LH-17020,Denny Joy,Corporate
637,CS-12250,Max Engle,Consumer
639,AJ-10795,Rick Bensley,Home Office
641,BV-11245,Justin Deggeller,Corporate
642,DL-12865,John Lee,Consumer
644,BM-11785,Sean Christensen,Consumer
645,LT-17110,Tamara Willingham,Home Office
646,JK-15730,Chuck Clark,Home Office
647,ES-14020,Barry Blumstein,Corporate
649,RH-19495,Anthony Rawles,Corporate
652,CD-11920,Steven Roelle,Home Office
653,HW-14935,Allen Rosenblatt,Corporate
655,MC-18130,Craig Reiter,Consumer
658,GM-14440,Eugene Hildebrand,Home Office
660,PJ-19015,Cassandra Brandow,Consumer
664,BW-11110,Sibella Parks,Corporate
665,TR-21325,Roy Collins,Consumer
666,PG-18820,Tiffany House,Corporate
669,JL-15175,Resi Pölking,Consumer
670,BM-11650,Meg O'Connel,Home Office
673,EM-14095,Tamara Dahlen,Consumer
674,AF-10885,Rob Beeghly,Consumer
677,GA-14725,Carol Darley,Consumer
681,CK-12760,Doug Jacobs,Consumer
684,DP-13105,Grant Thornton,Corporate
686,BK-11260,Michael Chen,Consumer
689,SJ-20125,Ralph Arnett,Consumer
690,CM-12445,Naresj Patel,Consumer
693,AJ-10780,Alan Barnes,Consumer
695,LS-16945,Jesus Ocampo,Home Office
702,GP-14740,Dorris liebe,Corporate
703,PK-18910,Alejandro Savely,Corporate
704,SM-20005,Jay Kimmel,Consumer
705,AG-10765,Brad Norvell,Corporate
708,PM-19135,David Philippe,Consumer
711,LL-16840,Tracy Hopkins,Home Office
712,JS-15595,Arthur Prichep,Consumer
713,EL-13735,Roland Schwarz,Corporate
716,PC-18745,Dorris liebe,Corporate
717,HL-15040,Seth Vernon,Consumer
718,MS-17365,Kelly Collister,Consumer
719,GB-14530,Christine Kargatis,Home Office
721,JR-16210,Ross DeVincentis,Home Office
722,BE-11335,Michael Paige,Corporate
724,SC-20050,Mathew Reese,Home Office
725,RW-19630,Steve Chapman,Corporate
726,SE-20110,Jay Fein,Consumer
728,AH-10075,Emily Grady,Consumer
733,JM-15535,Darrin Sayre,Home Office
739,JJ-15760,Gary Zandusky,Consumer
740,RK-19300,Phillina Ober,Home Office
743,CG-12040,Sung Shariari,Consumer
747,RP-19270,Maya Herman,Corporate
749,KC-16255,Peter Bühler,Consumer
750,KH-16360,Roland Fjeld,Consumer
754,GH-14665,Yoseph Carroll,Corporate
755,SW-20275,Melanie Seite,Consumer
756,JA-15970,Nona Balk,Corporate
757,DL-12925,Debra Catini,Consumer
759,LW-16990,Christine Phan,Corporate
760,TB-21190,Barry Französisch,Corporate
761,BS-11800,Andrew Roberts,Consumer
762,RW-19690,Julie Creighton,Corporate
763,TZ-21580,Lisa Hazard,Consumer
764,AS-10630,Chris Selesnick,Corporate
769,TS-21340,Anthony Johnson,Corporate
770,SL-20155,Laurel Elliston,Consumer
771,MW-18235,Benjamin Venier,Corporate
777,RD-19585,Dan Lawera,Consumer
778,RA-19945,Nick Zandusky,Home Office
782,MT-17815,Bryan Mills,Consumer
786,VG-21790,Erin Ashbrook,Corporate
787,JS-15880,Clay Ludtke,Consumer
788,KM-16225,Liz Thompson,Consumer
789,HR-14770,Sue Ann Reed,Consumer
793,DE-13255,Joe Kamberova,Consumer
794,AG-10390,Erica Smith,Consumer
796,JJ-15445,Rick Hansen,Consumer
797,JH-15430,David Bremer,Corporate
800,RD-19660,Carlos Daly,Consumer
801,MO-17500,Helen Wasserman,Corporate
803,NS-18640,Helen Wasserman,Corporate
804,DG-13300,Mike Caudle,Corporate
805,NF-18595,Gary McGarr,Consumer
806,MG-17650,Russell Applegate,Consumer
808,TS-21160,Allen Armold,Consumer
810,BD-11620,Zuschuss Carroll,Consumer
814,CM-12160,Pauline Johnson,Consumer
816,SN-20560,Bart Watters,Corporate
817,EH-14005,Dean Braden,Consumer
818,FO-14305,Cynthia Arntzen,Consumer
823,MS-17710,Toby Ritter,Consumer
825,CC-12100,Patrick Gardner,Consumer
827,DW-13540,Greg Tran,Consumer
830,BT-11395,Joel Eaton,Consumer
834,CY-12745,Jennifer Braxton,Corporate
837,BT-11485,Lisa Hazard,Consumer
838,PS-19045,James Lanier,Home Office
839,PV-18985,Ed Braxton,Corporate
840,NM-18520,Brian Moss,Corporate
843,DL-13495,Eudokia Martin,Corporate
847,CS-12355,Art Foster,Consumer
849,FH-14275,Guy Armstrong,Consumer
850,NC-18340,Cyma Kinney,Corporate
851,AA-10315,Dave Poirier,Corporate
853,LT-16765,Valerie Dominguez,Consumer
854,AP-10720,Greg Tran,Consumer
856,PM-18940,Berenike Kampe,Consumer
859,AT-10435,Sanjit Jacobs,Home Office
861,CA-12055,Chuck Magee,Consumer
863,HR-14830,Anthony Johnson,Corporate
866,BT-11530,Anthony Jacobs,Corporate
868,LH-16750,Linda Southworth,Corporate
869,SW-20755,Guy Phonely,Corporate
870,SP-20620,Paul Knutson,Home Office
872,BF-11170,Tracy Blumstein,Consumer
873,KT-16480,Sally Matthias,Consumer
875,BG-11695,Guy Armstrong,Consumer
876,GM-14680,Chuck Clark,Home Office
879,EJ-14155,Anthony Garverick,Home Office
880,NP-18700,Harold Pawlan,Home Office
882,MH-18115,Dave Kipp,Consumer
883,JR-15700,Gary Zandusky,Consumer
884,SM-20950,Peter McVee,Home Office
885,CC-12220,Lauren Leatherbury,Consumer
886,PF-19225,Jill Stevenson,Corporate
887,DC-12850,Olvera Toch,Consumer
888,BD-11770,Ed Ludwig,Home Office
889,GM-14500,Cyma Kinney,Corporate
890,TB-21355,Jeremy Ellison,Consumer
892,JH-16180,Tracy Hopkins,Home Office
895,EB-13975,Pamela Coakley,Corporate
897,QJ-19255,Hunter Lopez,Consumer
898,TC-21535,Maribeth Schnelling,Consumer
899,CS-12460,George Bell,Corporate
900,HG-14965,Justin Ritter,Corporate
901,LW-16825,Tamara Dahlen,Consumer
903,MC-17575,Dave Brooks,Consumer
904,LP-17095,Logan Currie,Consumer
907,EB-14170,Patrick O'Donnell,Consumer
910,GZ-14545,Bill Eplett,Home Office
913,CP-12085,Sample Company A,Home Office
914,FG-14260,Brian Moss,Corporate
916,LD-17005,Kelly Lampkin,Corporate
919,AB-10255,Rob Williams,Corporate
921,MN-17935,Roy Collins,Consumer
922,JR-15670,Sanjit Engle,Consumer
925,JF-15190,Adam Hart,Corporate
926,CM-12115,Jessica Myrick,Consumer
928,AS-10045,Joel Jenkins,Home Office
930,BP-11290,Alan Barnes,Consumer
933,ND-18370,Ralph Kennedy,Consumer
934,LB-16735,Catherine Glotzbach,Home Office
938,KT-16465,Ruben Ausman,Corporate
939,HM-14860,Rachel Payne,Corporate
941,AB-10600,Karen Carlisle,Corporate
942,SZ-20035,Rob Williams,Corporate
944,MG-17890,John Lucas,Consumer
947,JK-16120,Cynthia Arntzen,Consumer
948,PP-18955,Ross Baird,Home Office
953,YS-21880,Katherine Hughes,Consumer
954,KM-16375,Greg Hansen,Consumer
956,AB-10105,Scott Williamson,Consumer
957,HA-14905,Joseph Airdo,Consumer
960,BT-11305,Daniel Lacy,Consumer
961,SV-20815,Lindsay Williams,Corporate
962,RW-19540,Thomas Brumley,Home Office
963,DK-12835,Cynthia Voltz,Corporate
964,ST-20530,Maribeth Schnelling,Consumer
965,MM-17920,Bryan Spruell,Home Office
971,PW-19030,Delfina Latchford,Consumer
975,SC-20440,Phillina Ober,Home Office
977,TS-21085,Tamara Dahlen,Consumer
978,MC-17425,Bart Watters,Corporate
979,ME-17320,Robert Waldorf,Consumer
980,NH-18610,Ken Brennan,Corporate
981,MB-18085,Emily Burns,Consumer
982,KD-16495,Tracy Zic,Consumer
985,KN-16390,Ann Steele,Home Office
988,NP-18685,Toby Swindell,Consumer
989,CS-12505,John Grady,Corporate
991,MS-17770,Sara Luxemburg,Home Office
992,CM-12655,Troy Staebel,Consumer
993,Co-12640,Roland Fjeld,Consumer
995,TS-21370,Mitch Willingham,Corporate
997,JW-15220,Rob Dowd,Consumer
1001,JD-15790,Frank Merwin,Home Office
1002,PC-19000,Rick Hansen,Consumer
1005,AR-10540,Ryan Akin,Consumer
1006,AI-10855,Joe Kamberova,Consumer
1007,TB-21400,Meg Tillman,Consumer
1009,PL-18925,Patrick O'Brill,Consumer
1010,GH-14425,Annie Thurman,Consumer
1011,MP-18175,Vivek Gonzalez,Consumer
1012,JM-15655,Philip Fox,Consumer
1014,CL-11890,John Stevenson,Consumer
1016,DB-13270,Meg O'Connel,Home Office
1017,IG-15085,Kalyca Meade,Corporate
1021,BO-11425,Greg Tran,Consumer
1024,AB-10150,Philip Brown,Consumer
1025,JW-16075,Hallie Redmond,Home Office
1026,EB-13750,Deanra Eno,Home Office
1029,SG-20470,Laura Armstrong,Corporate
1034,CM-12190,Allen Goldenen,Consumer
1037,AW-10840,Ed Ludwig,Home Office
1038,MC-18100,Jennifer Jackson,Consumer
1039,TT-21460,Jennifer Halladay,Consumer
1041,VG-21805,Robert Dilbeck,Home Office
1042,MY-18295,Mary O'Rourke,Consumer
1044,RD-19480,Noel Staavos,Corporate
1046,DP-13390,Steve Nguyen,Home Office
1047,ML-17395,Zuschuss Carroll,Consumer
1049,JC-15385,Lena Creighton,Consumer
1051,JG-15160,Deirdre Greer,Corporate
1054,MC-17275,Nicole Fjeld,Home Office
1058,NW-18400,Ben Peterman,Corporate
1060,TB-21280,Matthew Grinstein,Home Office
1061,BS-11380,Julia Dunbar,Consumer
1062,HH-15010,Theresa Swint,Corporate
1068,CD-12280,Brian DeCherney,Consumer
1069,TH-21100,Charles McCrossin,Consumer
1070,MM-18055,Ross Baird,Home Office
1071,NS-18505,Skye Norling,Home Office
1072,RB-19645,Erica Hernandez,Home Office
1073,SW-20455,Frank Olsen,Consumer
1074,EB-13930,Maurice Satty,Consumer
1077,PS-18760,Chad Cunningham,Home Office
1078,HF-14995,Don Weiss,Consumer
1081,HZ-14950,Bill Tyler,Corporate
1083,CD-12790,Karen Daniels,Consumer
1087,JK-15205,Lena Cacioppo,Consumer
1088,FM-14215,Craig Yedwab,Corporate
1090,ED-13885,Lindsay Williams,Corporate
1092,DA-13450,Naresj Patel,Consumer
1094,JW-15955,Brad Thomas,Home Office
1096,RM-19375,Penelope Sewall,Home Office
1098,ML-17755,Noel Staavos,Corporate
1099,CC-12685,Paul Van Hugh,Home Office
1103,JE-15610,Resi Pölking,Consumer
1105,RP-19855,Neoma Murray,Consumer
1106,TB-21175,Eric Hoffmann,Consumer
1114,BE-11455,Russell Applegate,Consumer
1117,JF-15565,Dionis Lloyd,Corporate
1118,PB-19210,Christine Sundaresam,Consumer
1122,BT-11680,Hunter Lopez,Consumer
1128,JL-15235,Pete Armstrong,Home Office
1130,CH-12070,Brian Dahlen,Consumer
1133,ND-18460,Greg Guthrie,Corporate
1134,BF-10975,Joni Sundaresam,Home Office
1136,KH-16330,Lena Radford,Consumer
1137,GW-14605,Frank Hawley,Corporate
1142,NC-18625,Arthur Prichep,Consumer
1147,ME-18010,Nat Carroll,Consumer
1152,BP-11230,Claudia Bergmann,Corporate
1153,JC-15775,Kelly Lampkin,Corporate
1155,AS-10090,Penelope Sewall,Home Office
1159,AC-10450,George Bell,Corporate
1160,MD-17860,Alex Avila,Consumer
1162,DB-13660,Larry Tron,Consumer
1163,EH-13990,Anne Pryor,Home Office
1166,EH-13765,Paul MacIntyre,Consumer
1167,SC-20230,Kelly Collister,Consumer
1168,JE-15715,Delfina Latchford,Consumer
1172,AC-10615,Scott Williamson,Consumer
1173,JD-16015,Allen Armold,Consumer
1174,CB-12415,Liz Thompson,Consumer
1175,JS-16030,Dave Poirier,Corporate
1176,LW-17215,Adam Bellavance,Home Office
1177,SC-20800,Alyssa Tate,Home Office
1178,AM-10705,Joel Eaton,Consumer
1180,RH-19510,Cathy Armstrong,Home Office
1181,CT-11995,Dave Brooks,Consumer
1183,MC-17590,Rob Beeghly,Consumer
1185,CC-12610,Harold Ryan,Corporate
1189,KA-16525,Bradley Talbott,Home Office
1194,TC-20980,Nat Gilpin,Corporate
1198,BF-11080,Zuschuss Carroll,Consumer
1201,MM-17260,Linda Southworth,Corporate
1206,AH-10120,Larry Hughes,Consumer
1207,BW-11200,Steven Ward,Corporate
1213,SW-20245,Stefania Perrino,Corporate
1221,BS-11665,Ben Ferrer,Home Office
1223,RF-19345,Becky Martin,Consumer
1229,WB-21850,Zuschuss Carroll,Consumer
1232,TB-21625,Kean Thornton,Consumer
1234,AF-10870,Brooke Gillingham,Corporate
1235,RB-19435,Patrick Gardner,Consumer
1239,KF-16285,Greg Matthias,Consumer
1242,JH-15820,Meg O'Connel,Home Office
1243,IL-15100,Patrick Gardner,Consumer
1245,PB-18805,Eva Jacobs,Consumer
1246,RH-19600,Nora Preis,Consumer
1249,AW-10930,Doug Jacobs,Consumer
1253,ML-17410,Irene Maddox,Consumer
1254,DB-13555,Mick Hernandez,Home Office
1258,MH-17620,Ross Baird,Home Office
1261,DK-13375,Jocasta Rupert,Consumer
1262,BT-11440,Suzanne McNair,Corporate
1263,DB-13405,Christine Sundaresam,Consumer
1264,TG-21310,Chris Cortes,Consumer
1266,BF-11005,Phillip Flathmann,Consumer
1267,JM-16195,Julie Creighton,Corporate
1269,MZ-17335,Brooke Gillingham,Corporate
1270,MW-18220,Dan Campbell,Consumer
1271,MV-17485,Sibella Parks,Corporate
1274,SM-20320,Maurice Satty,Consumer
1278,TP-21415,Bryan Davis,Consumer
1279,JK-15625,Karen Carlisle,Corporate
1281,PJ-18835,Toby Ritter,Consumer
1282,RS-19420,Sue Ann Reed,Consumer
1285,SV-20935,Katrina Willman,Consumer
1286,BC-11125,Gene McClure,Consumer
1287,EM-13825,Alan Dominguez,Home Office
1288,BM-11575,Todd Boyes,Corporate
1291,KN-16705,Chuck Clark,Home Office
1293,KW-16570,Philip Fox,Consumer
1296,SC-20260,Justin Hirsh,Consumer
1297,CV-12295,Erica Bern,Corporate
1299,SG-20605,Quincy Jones,Corporate
1300,TM-21010,Alex Avila,Consumer
1301,EM-13810,Logan Currie,Consumer
1303,ML-18040,Tracy Collins,Home Office
1304,CR-12580,Chuck Sachs,Consumer
1306,AZ-10750,Bryan Mills,Consumer
1307,PW-19240,Roy Collins,Consumer
1312,SC-20380,Fred McMath,Consumer
1314,CM-11935,Pete Kriz,Consumer
1315,GM-14695,Henry Goldwyn,Corporate
1318,TB-21250,Helen Andreada,Consumer
1319,JM-15865,Laurel Workman,Corporate
1321,SC-20575,Matt Collins,Consumer
1323,LS-17200,Liz Preis,Consumer
1324,RR-19315,Evan Bailliet,Consumer
1325,DB-12910,George Zrebassa,Corporate
1326,TT-21220,Laurel Elliston,Consumer
1327,LO-17170,Alan Dominguez,Home Office
1328,KD-16615,Cathy Prescott,Corporate
1329,NB-18580,Frank Gastineau,Home Office
1330,BD-11635,Lisa DeCherney,Consumer
1331,CM-12235,Alejandro Ballentine,Home Office
1333,EN-13780,Michael Nguyen,Consumer
1335,KN-16450,Harold Pawlan,Home Office
1336,BO-11350,Jim Radford,Consumer
1337,AG-10300,Jamie Frazer,Consumer
1338,MC-17635,Chad McGuire,Consumer
